 ,Area,Mean,Min,Max,Angle,Length
1,586.350,191.948,28,251,135.996,195.191
2,562.770,217.541,153,247,128.660,184.410
3,574.290,218.987,172,247,-42.201,191.147
4,622.350,222.178,176,244,137.347,207.215
5,734.310,216.703,165,244,150.290,244.547
6,651.330,217.428,149,246,170.121,216.815
7,603.450,220.784,187,249,14.534,200.827
8,747.990,215.283,167,249,-142.246,248.910
9,462.870,219.857,170,246,128.032,153.872
10,623.970,219.434,166,249,173.696,207.655
11,561.510,218.136,142,246,151.624,186.850
12,395.190,216.679,159,248,154.604,131.508
13,603.810,217.859,141,250,153.741,200.712
14,562.050,219.367,152,246,19.481,187.112
